23-03 19.15 100.00 19.21 100.00 19.20 100.00
23-04 20.72 99.76 20.84 99.17 20.88 92.04
23-05 23.98 94.87 24.10 92.74 24.14 77.59
23-06 24.42 88.63 24.54 85.92 24.57 71.06
23-07 22.48 83.34 22.60 80.55 22.64 67.43
23-08 23.08 80.18 24.40 77.52 24.42 66.16
23-09 24.11 76.29 24.24 73.57 24.28 61.07
23-10 21.67 71.21 21.80 67.86 21.85 53.23
23-11 19.14 64.73 19.28 60.38 19.33 44.36
23-12 18.27 58.71 18.41 54.09 18.45 39.60
24-01 20.09 52.59 20.23 48.03 20.28 34.74
